"","base","mint"
"ets",-4.69992719531426,-6.01965019961417
"iglm",-1.16434428264919,-6.44439316626407
"naiveecdf",-0.818281523891246,-0.638903534692301
"tscount",-0.891939455531487,-6.12875299701562
