"","base","mint"
"ets",-9.65455222728119,-6.79247051277574
"iglm",-3.40653126509785,-6.13016805853354
"naiveecdf",2.09299610696566,2.1008448237309
"tscount",-3.25566021575593,-6.22011305529426
